ticker,tier,entry_date,entry_price,exit_date,exit_price,return_pct,pnl_dollars,hold_days,exit_reason
ALGN,dip,2022-02-11,509.1,2022-03-07,435.57,-14.44,-5055.1,24,trailing_stop
ADBE,dip,2022-02-28,467.68,2022-04-26,399.12,-14.66,-5130.86,57,trailing_stop
CPRT,dip,2022-03-09,28.975,2022-05-06,27.405,-5.42,-1886.88,58,trailing_stop
DECK,dip,2022-03-16,45.9233,2022-05-06,41.1083,-10.48,-3651.15,51,trailing_stop
CPRT,dip,2022-05-06,27.405,2022-09-13,27.5375,0.48,166.56,130,trailing_stop
GOOG,dip,2022-05-16,113.8577,2022-09-15,103.0539,-9.49,-3268.88,122,trailing_stop
MSFT,dip,2022-05-19,245.4518,2022-09-15,238.4325,-2.86,-985.17,119,trailing_stop
NVDA,dip,2022-07-15,15.7367,2022-08-26,16.2339,3.16,1088.44,42,trailing_stop
NVDA,dip,2022-08-26,16.2339,2022-09-02,13.6251,-16.07,-5542.22,7,trailing_stop
CPRT,dip,2022-09-13,27.5375,2023-04-14,38.56,40.03,6864.59,213,take_profit_50pct
CPRT,dip,2022-09-13,27.5375,2023-09-13,44.31,60.91,10445.58,365,max_hold_12mo
MSFT,dip,2022-09-15,238.4325,2023-06-15,340.7903,42.93,7330.36,273,take_profit_50pct
GOOG,dip,2022-09-15,103.0539,2022-11-02,86.361,-16.2,-5531.83,48,trailing_stop
MSFT,dip,2022-09-15,238.4325,2023-09-15,323.9703,35.88,6125.79,365,max_hold_12mo
CTRA,dip,2022-10-03,23.6806,2022-12-06,22.8835,-3.37,-1149.44,64,trailing_stop
CTRA,dip,2022-12-06,22.8835,2023-11-14,25.0764,9.58,3250.09,343,neg_revenue_2q
ANET,dip,2023-01-04,28.46,2023-03-16,40.67,42.9,7275.56,71,take_profit_50pct
ANET,dip,2023-01-04,28.46,2023-05-02,33.745,18.57,3149.17,118,trailing_stop
COP,dip,2023-02-06,96.7265,2023-03-15,86.0848,-11.0,-3731.5,37,trailing_stop
COP,dip,2023-03-21,90.1251,2023-08-14,108.2338,20.09,6839.8,146,neg_revenue_2q
DVN,dip,2023-03-29,44.6525,2023-05-11,42.3836,-5.08,-1729.74,43,trailing_stop
IBKR,dip,2024-08-05,26.9026,2024-12-30,44.4548,65.24,11587.48,147,backtest_end
IBKR,dip,2024-08-05,26.9026,2024-10-15,37.9537,41.08,7295.62,71,take_profit_50pct
ROK,dip,2024-08-05,241.1454,2024-12-30,280.0752,16.14,5734.33,147,backtest_end
