ticker,tier,entry_date,entry_price,exit_date,exit_price,return_pct,pnl_dollars,hold_days,exit_reason
LRCX,qvm,2017-10-02,16.5286,2017-12-04,16.0655,-2.8,-2801.77,63,trailing_stop
LRCX,qvm,2018-01-02,16.8713,2018-02-02,15.9603,-5.4,-5384.24,31,trailing_stop
AMAT,qvm,2018-01-02,48.3742,2018-02-05,44.0603,-8.92,-8892.8,34,trailing_stop
PYPL,qvm,2018-04-02,74.6012,2018-07-02,83.4439,11.85,11650.9,91,qvm_rebalance
APO,qvm,2018-04-02,22.7315,2018-07-02,25.5813,12.54,12322.87,91,qvm_rebalance
META,qvm,2018-04-02,154.1801,2018-07-26,174.8876,13.43,13201.34,115,trailing_stop
CPRT,qvm,2018-04-02,12.45,2018-09-19,13.895,11.61,11408.21,170,trailing_stop
ANET,qvm,2018-04-02,15.8444,2018-10-01,16.2275,2.42,2376.76,182,trailing_stop
ADBE,qvm,2018-04-02,212.28,2018-11-19,219.69,3.49,3431.06,231,trailing_stop
NVDA,qvm,2018-04-02,5.4681,2018-10-10,6.0847,11.28,11083.76,191,trailing_stop
CTAS,qvm,2018-07-02,43.5532,2018-10-01,45.7164,4.97,5001.15,91,qvm_rebalance
EMR,qvm,2018-07-02,57.8939,2018-10-01,65.16,12.55,12637.37,91,qvm_rebalance
TPL,qvm,2018-07-02,69.1414,2018-10-01,86.2419,24.73,24903.23,91,qvm_rebalance
PYPL,qvm,2018-07-02,83.4439,2018-10-01,87.0844,4.36,4392.93,91,qvm_rebalance
ANET,qvm,2018-10-01,16.2275,2018-10-11,13.4663,-17.02,-18391.02,10,trailing_stop
META,qvm,2018-10-01,161.1752,2018-11-19,130.5257,-19.02,-20553.08,49,trailing_stop
LRCX,crash,2018-12-18,12.5638,2019-02-14,16.517,31.47,33239.48,58,neg_revenue_2q
LULU,qvm,2019-01-02,123.35,2020-02-27,220.7,78.92,83371.9,421,trailing_stop
META,crash,2019-01-02,134.6235,2022-01-03,335.904,149.51,157944.19,1097,max_hold_3yr
ADBE,qvm,2019-01-02,224.57,2019-10-22,261.09,16.26,17179.15,293,trailing_stop
MU,qvm,2019-01-02,31.9407,2019-04-01,41.2059,29.01,30643.28,89,qvm_rebalance
VRTX,qvm,2019-01-02,164.08,2019-05-13,164.61,0.32,341.23,131,trailing_stop
TPL,crash,2019-01-02,56.3438,2020-08-14,61.6972,9.5,10037.03,590,neg_revenue_2q
FTNT,qvm,2019-04-01,17.044,2019-05-13,15.898,-6.72,-7532.44,42,trailing_stop
GOOG,qvm,2019-04-01,59.2352,2019-06-03,51.3896,-13.24,-14837.76,63,trailing_stop
CTRA,qvm,2019-04-01,19.1074,2019-06-24,17.2174,-9.89,-11080.61,84,trailing_stop
OXY,qvm,2019-04-01,57.8159,2019-05-01,49.468,-14.44,-16175.38,30,trailing_stop
MPWR,qvm,2019-04-01,132.8786,2019-05-13,119.7933,-9.85,-11031.87,42,trailing_stop
ALGN,qvm,2019-07-01,271.68,2019-07-25,200.9,-26.05,-27614.64,24,trailing_stop
CTRA,qvm,2019-07-01,17.0544,2019-07-26,14.2009,-16.73,-17734.96,25,trailing_stop
FTNT,qvm,2019-07-01,15.438,2020-02-27,20.528,32.97,34947.27,241,trailing_stop
VRTX,qvm,2019-07-01,181.84,2020-03-12,204.06,12.22,12952.13,255,trailing_stop
GOOG,qvm,2019-07-01,54.4505,2020-03-09,60.2831,10.71,11353.99,252,trailing_stop
ANET,qvm,2019-10-01,14.3969,2019-11-01,11.5813,-19.56,-19842.79,31,trailing_stop
ALGN,qvm,2019-10-01,182.3,2020-02-03,253.02,38.79,39359.69,125,trailing_stop
CPRT,qvm,2019-10-01,19.8825,2020-02-26,22.09,11.1,7898.7,148,trailing_stop
ANET,qvm,2020-01-02,12.795,2020-02-27,12.0737,-5.64,-5704.27,56,trailing_stop
ALGN,crash,2020-03-05,230.69,2022-11-14,210.33,-8.83,-10342.06,984,neg_revenue_2q
ISRG,crash,2020-03-27,163.47,2020-11-16,252.73,54.6,65312.02,234,neg_revenue_2q
GOOG,crash,2020-03-31,57.6671,2023-03-31,103.1531,78.88,94346.3,1095,max_hold_3yr
EW,qvm,2020-04-01,57.5433,2020-07-01,69.0,19.91,23814.29,91,qvm_rebalance
PYPL,qvm,2020-04-01,90.894,2020-07-01,176.4864,94.17,112635.17,91,qvm_rebalance
GRMN,qvm,2020-04-01,62.6973,2020-07-01,85.8521,36.93,44173.92,91,qvm_rebalance
LULU,qvm,2020-04-01,183.5,2020-07-01,308.62,68.19,81557.7,91,qvm_rebalance
CPRT,qvm,2020-04-01,16.1975,2020-07-01,21.1475,30.56,36553.7,91,qvm_rebalance
TER,qvm,2020-07-01,81.0477,2020-09-08,73.9201,-8.79,-13146.32,69,trailing_stop
TER,qvm,2020-10-01,79.5671,2021-01-29,111.1638,39.71,59238.32,120,trailing_stop
AMAT,qvm,2021-01-04,83.087,2021-05-12,110.0858,32.49,50595.87,128,trailing_stop
VRTX,qvm,2021-01-04,229.43,2021-06-11,193.02,-15.87,-24710.11,158,trailing_stop
WSM,qvm,2021-04-01,82.8435,2021-06-17,71.241,-14.01,-22636.79,77,trailing_stop
TER,qvm,2021-04-01,126.2715,2021-07-01,126.9297,0.52,842.46,91,qvm_rebalance
PYPL,qvm,2021-04-01,246.2236,2021-09-28,260.7957,5.92,9565.62,180,trailing_stop
AMAT,qvm,2021-07-01,132.4241,2022-01-20,134.0364,1.22,1972.83,203,trailing_stop
TMO,qvm,2021-07-01,502.9575,2021-10-01,565.5954,12.45,20180.15,92,qvm_rebalance
