ticker,tier,entry_date,entry_price,exit_date,exit_price,return_pct,pnl_dollars,hold_days,exit_reason
LRCX,crash,2017-10-02,16.5286,2019-02-14,16.517,-0.07,-70.06,500,neg_revenue_2q
AMAT,qvm,2018-01-02,48.3742,2018-04-02,48.3253,-0.1,-101.25,90,qvm_rebalance
APO,qvm,2018-04-02,22.7315,2018-07-02,25.5813,12.54,12535.71,91,qvm_rebalance
PYPL,qvm,2018-04-02,74.6012,2018-07-02,83.4439,11.85,11852.14,91,qvm_rebalance
CPRT,qvm,2018-04-02,12.45,2018-10-01,13.1575,5.68,5682.16,182,qvm_rebalance
ANET,qvm,2018-04-02,15.8444,2019-04-01,19.8975,25.58,25578.25,364,qvm_rebalance
NVDA,qvm,2018-04-02,5.4681,2019-04-01,4.5235,-17.28,-17273.4,364,qvm_rebalance
META,crash,2018-04-02,154.1801,2021-04-01,296.3345,92.2,92190.93,1095,max_hold_3yr
ADBE,qvm,2018-04-02,212.28,2020-01-02,334.43,57.54,57536.1,640,qvm_rebalance
TPL,qvm,2018-07-02,69.1414,2018-10-01,86.2419,24.73,25333.37,91,qvm_rebalance
EMR,qvm,2018-07-02,57.8939,2018-10-01,65.16,12.55,12855.65,91,qvm_rebalance
AMAT,qvm,2018-07-02,41.9043,2019-01-02,31.0272,-25.96,-26587.46,184,qvm_rebalance
MU,qvm,2018-07-02,53.1336,2019-07-01,39.1188,-26.38,-27017.25,364,qvm_rebalance
TPL,crash,2019-01-02,56.3438,2020-08-14,61.6972,9.5,9896.26,590,neg_revenue_2q
LULU,qvm,2019-01-02,123.35,2020-07-01,308.62,150.2,156442.42,546,qvm_rebalance
VRTX,qvm,2019-01-02,164.08,2020-04-01,225.48,37.42,38976.36,455,qvm_rebalance
CTRA,qvm,2019-04-01,19.1074,2019-10-01,13.098,-31.45,-33016.91,183,qvm_rebalance
OXY,qvm,2019-04-01,57.8159,2019-07-01,43.5337,-24.7,-25933.28,91,qvm_rebalance
MPWR,qvm,2019-04-01,132.8786,2019-07-01,131.7541,-0.85,-888.43,91,qvm_rebalance
GOOG,crash,2019-04-01,59.2352,2022-03-31,138.5123,133.83,140500.22,1095,max_hold_3yr
ALGN,crash,2019-07-01,271.68,2022-06-30,236.67,-12.89,-12834.5,1095,max_hold_3yr
FTNT,qvm,2019-07-01,15.438,2020-04-01,20.094,30.16,30037.69,275,qvm_rebalance
ANET,qvm,2019-10-01,14.3969,2020-04-01,12.0481,-16.31,-8162,183,qvm_rebalance
CPRT,qvm,2019-10-01,19.8825,2020-07-01,21.1475,6.36,6126.65,274,qvm_rebalance
ISRG,crash,2020-01-02,199.0867,2020-11-16,252.73,26.94,27496.68,319,neg_revenue_2q
PYPL,qvm,2020-04-01,90.894,2020-07-01,176.4864,94.17,101826.53,91,qvm_rebalance
EW,qvm,2020-04-01,57.5433,2020-07-01,69,19.91,21529.04,91,qvm_rebalance
GRMN,qvm,2020-04-01,62.6973,2020-07-01,85.8521,36.93,39934.92,91,qvm_rebalance
TER,qvm,2020-07-01,81.0477,2021-07-01,126.9297,56.61,79662.9,365,qvm_rebalance
AMAT,qvm,2021-01-04,83.087,2021-10-01,124.1842,49.46,71453.51,270,qvm_rebalance
VRTX,qvm,2021-01-04,229.43,2021-07-01,202.21,-11.86,-17138.87,178,qvm_rebalance
SWKS,qvm,2021-04-01,163.4204,2021-10-01,143.5875,-12.14,-17531.72,183,qvm_rebalance
WSM,qvm,2021-04-01,82.8435,2021-10-01,80.1491,-3.25,-4698.3,183,qvm_rebalance
FTNT,qvm,2021-04-01,37.278,2021-07-01,48.468,30.02,43363.27,91,qvm_rebalance
REGN,qvm,2021-04-01,471.743,2022-04-01,690.1675,46.3,66886.78,365,qvm_rebalance
META,qvm,2021-07-01,351.6306,2021-10-01,340.3392,-3.21,-5274.88,92,qvm_rebalance
TMO,qvm,2021-07-01,502.9575,2021-10-01,565.5954,12.45,20457.65,92,qvm_rebalance
DGX,qvm,2021-07-01,120.5631,2021-10-01,130.556,8.29,13615.26,92,qvm_rebalance
PYPL,qvm,2021-07-01,287.4631,2021-10-01,263.2426,-8.43,-13840.46,92,qvm_rebalance
ULTA,qvm,2021-10-01,368.03,2022-01-03,413.23,12.28,20962.86,94,qvm_rebalance
AMD,qvm,2021-10-01,102.45,2022-01-03,150.24,46.65,79619.66,94,qvm_rebalance
DECK,qvm,2021-10-01,60.9117,2022-01-03,61.3233,0.68,1153.56,94,qvm_rebalance
WY,qvm,2021-10-01,29.407,2022-01-03,33.9794,15.55,26539.45,94,qvm_rebalance
EL,qvm,2021-10-01,289.7333,2022-01-03,345.9449,19.4,33114.86,94,qvm_rebalance
ISRG,qvm,2021-10-01,336.5,2022-04-01,305.54,-9.2,-15704.02,182,qvm_rebalance
LULU,crash,2021-10-01,401.37,2024-09-30,271.35,-32.39,-55291.75,1095,max_hold_3yr
PFE,crash,2022-01-03,45.3657,2023-08-14,30.7616,-32.19,-60142.3,588,neg_revenue_2q
VRTX,qvm,2022-01-03,222.53,2022-04-01,266.15,19.6,36620.95,88,qvm_rebalance
EG,qvm,2022-01-03,252.13,2022-04-01,285.4682,13.22,24703,88,qvm_rebalance
ODFL,qvm,2022-01-03,169.3564,2022-04-01,136.3018,-19.52,-36463.85,88,qvm_rebalance
TER,qvm,2022-01-03,163.2057,2022-05-23,101.1845,-38,-70996.59,140,crash_displaced_qvm
LRCX,crash,2022-04-01,50.3084,2023-08-14,64.9962,29.2,60866.46,500,neg_revenue_2q
CF,qvm,2022-04-01,91.4759,2022-06-13,79.5148,-13.08,-27259.91,73,crash_displaced_qvm
MRK,qvm,2022-04-01,73.9577,2022-06-21,78.5893,6.26,13055.97,81,crash_displaced_qvm
EXPD,crash,2022-04-01,95.3345,2022-05-16,106.0384,11.23,23407.46,45,gm_below_30%
ANET,qvm,2022-04-01,34.87,2022-04-22,29.425,-15.62,-32554.18,21,crash_displaced_qvm
KLAC,qvm,2022-04-01,345.8071,2022-05-09,306.0691,-11.49,-23957.03,38,crash_displaced_qvm
CPRT,crash,2022-04-22,29.0375,2024-12-30,58.13,100.19,205611.56,983,backtest_end
META,crash,2022-05-09,194.6822,2022-11-14,113.3306,-41.79,-84755.1,189,neg_revenue_2q
EXPD,crash,2022-05-18,99.6618,2022-05-19,98.8326,-0.83,-1707.07,1,gm_below_30%
EXPD,crash,2022-05-19,98.8326,2022-05-20,100.5006,1.69,3459.77,1,gm_below_30%
EXPD,crash,2022-05-20,100.5006,2022-05-23,100.6721,0.17,350.55,3,gm_below_30%
GOOG,crash,2022-05-23,110.7572,2024-12-30,191.8076,73.18,145097.27,952,backtest_end
EXPD,crash,2022-05-23,100.6721,2022-05-24,100.3576,-0.31,-641.69,1,gm_below_30%
EXPD,crash,2022-05-24,100.3576,2022-05-25,101.1583,0.8,1581.37,1,gm_below_30%
EXPD,crash,2022-05-25,101.1583,2022-05-26,103.6174,2.43,4822.41,1,gm_below_30%
EXPD,crash,2022-06-09,97.0468,2022-06-10,94.4193,-2.71,-5383.99,1,gm_below_30%
EXPD,crash,2022-06-10,94.4193,2022-06-13,92.5205,-2.01,-3988.08,3,gm_below_30%
TXN,crash,2022-06-13,137.269,2023-05-15,152.1464,10.84,21155.23,336,neg_revenue_2q
EXPD,crash,2022-06-13,92.5205,2022-06-14,94.5535,2.2,4348.94,1,gm_below_30%
EXPD,crash,2022-06-14,94.5535,2022-06-15,93.9302,-0.66,-1289.65,1,gm_below_30%
EXPD,crash,2022-06-15,93.9302,2022-06-16,92.3479,-1.68,-3293.2,1,gm_below_30%
EXPD,crash,2022-06-16,92.3479,2022-06-17,90.3533,-2.16,-4215.48,1,gm_below_30%
EXPD,crash,2022-06-17,90.3533,2022-06-21,91.878,1.69,3286.43,4,gm_below_30%
EXPD,crash,2022-06-21,91.878,2022-06-22,91.6383,-0.26,-509.01,1,gm_below_30%
WST,crash,2022-06-21,285.5633,2023-02-14,273.7972,-4.12,-8091.45,238,neg_revenue_2q
EXPD,crash,2022-06-22,91.6383,2022-06-23,92.4726,0.91,1787.44,1,gm_below_30%
EXPD,crash,2022-06-23,92.4726,2022-06-24,96.366,4.21,8273.62,1,gm_below_30%
EXPD,crash,2022-06-24,96.366,2022-06-27,96.4043,0.04,78.54,3,gm_below_30%
EXPD,crash,2022-06-27,96.4043,2022-06-28,93.8151,-2.69,-5300.18,1,gm_below_30%
EXPD,crash,2022-06-28,93.8151,2022-06-29,94.0261,0.22,442.6,1,gm_below_30%
EXPD,crash,2022-06-29,94.0261,2022-06-30,93.4603,-0.6,-1184.57,1,gm_below_30%
EXPD,crash,2022-06-30,93.4603,2022-07-01,93.5754,0.12,240.66,1,gm_below_30%
ISRG,crash,2022-07-01,206.1,2024-12-30,526.96,155.68,304327.12,913,backtest_end
REGN,qvm,2022-07-01,591.4047,2022-07-07,603.3738,2.02,3950.92,6,crash_displaced_qvm
MU,crash,2022-07-07,57.6158,2023-01-17,56.0115,-2.78,-5453.93,194,neg_revenue_2q
COP,crash,2023-01-03,101.7928,2023-08-14,108.2338,6.33,7693.19,223,neg_revenue_2q
QCOM,crash,2023-03-13,106.8666,2023-05-15,99.2552,-7.12,-13250.66,63,neg_revenue_2q
CTRA,crash,2023-03-15,20.6785,2023-11-14,25.0764,21.27,39567.99,244,neg_revenue_2q
MCHP,qvm,2023-07-03,84.5773,2024-01-02,81.5674,-3.56,-6649.14,183,qvm_rebalance
ALB,qvm,2023-07-03,219.5133,2023-10-02,155.8431,-29.01,-54192.04,91,qvm_rebalance
RMD,qvm,2023-10-02,142.34,2024-04-01,185.9511,30.64,55841.63,182,qvm_rebalance
ABNB,qvm,2023-10-02,136.56,2024-07-01,151.63,11.04,20113.03,273,qvm_rebalance
ANET,qvm,2023-10-02,46.9525,2024-12-30,111.45,137.37,250363.84,455,backtest_end
NVDA,qvm,2024-01-02,48.1386,2024-04-01,90.312,87.61,162557.71,90,qvm_rebalance
DECK,qvm,2024-04-01,155.0833,2024-12-30,205.76,32.68,67769,273,backtest_end
META,qvm,2024-04-01,488.0414,2024-12-30,588.8773,20.66,42849.57,273,backtest_end
MSFT,qvm,2024-07-01,450.6371,2024-12-30,420.7587,-6.63,-13883.85,182,backtest_end
FSLR,qvm,2024-07-01,222.71,2024-12-30,178.07,-20.04,-41972.44,182,backtest_end
NVDA,qvm,2024-10-01,116.9536,2024-12-30,137.445,17.52,35720.3,90,backtest_end
