ticker,tier,entry_date,entry_price,exit_date,exit_price,return_pct,pnl_dollars,hold_days,exit_reason
LRCX,qvm,2017-10-02,16.5286,2019-01-02,12.5975,-23.78,-23783.67,457,qvm_rebalance
AMAT,qvm,2018-01-02,48.3742,2018-04-02,48.3253,-0.1,-101.25,90,qvm_rebalance
APO,qvm,2018-04-02,22.7315,2018-07-02,25.5813,12.54,12535.71,91,qvm_rebalance
PYPL,qvm,2018-04-02,74.6012,2018-07-02,83.4439,11.85,11852.14,91,qvm_rebalance
CPRT,qvm,2018-04-02,12.45,2018-10-01,13.1575,5.68,5682.16,182,qvm_rebalance
ANET,qvm,2018-04-02,15.8444,2019-04-01,19.8975,25.58,25578.25,364,qvm_rebalance
NVDA,qvm,2018-04-02,5.4681,2019-04-01,4.5235,-17.28,-17273.4,364,qvm_rebalance
META,qvm,2018-04-02,154.1801,2019-07-01,191.4972,24.2,24201.18,455,qvm_rebalance
ADBE,qvm,2018-04-02,212.28,2020-01-02,334.43,57.54,57536.1,640,qvm_rebalance
TPL,qvm,2018-07-02,69.1414,2018-10-01,86.2419,24.73,25333.37,91,qvm_rebalance
EMR,qvm,2018-07-02,57.8939,2018-10-01,65.16,12.55,12855.65,91,qvm_rebalance
AMAT,qvm,2018-07-02,41.9043,2019-01-02,31.0272,-25.96,-26587.46,184,qvm_rebalance
MU,qvm,2018-07-02,53.1336,2019-07-01,39.1188,-26.38,-27017.25,364,qvm_rebalance
TPL,qvm,2019-01-02,56.3438,2019-07-01,81.4899,44.63,45423.49,180,qvm_rebalance
LULU,qvm,2019-01-02,123.35,2020-07-01,308.62,150.2,152870.15,546,qvm_rebalance
VRTX,qvm,2019-01-02,164.08,2020-04-01,225.48,37.42,38086.36,455,qvm_rebalance
GOOG,qvm,2019-04-01,59.2352,2020-07-01,71.3165,20.4,20927.65,457,qvm_rebalance
OXY,qvm,2019-04-01,57.8159,2019-07-01,43.5337,-24.7,-25347.49,91,qvm_rebalance
MPWR,qvm,2019-04-01,132.8786,2019-07-01,131.7541,-0.85,-868.36,91,qvm_rebalance
CTRA,qvm,2019-04-01,19.1074,2019-10-01,13.098,-31.45,-32271.1,183,qvm_rebalance
ALGN,qvm,2019-07-01,271.68,2020-04-01,157.2,-42.14,-43927.95,275,qvm_rebalance
FTNT,qvm,2019-07-01,15.438,2020-04-01,20.094,30.16,31440.61,275,qvm_rebalance
ANET,qvm,2019-10-01,14.3969,2020-04-01,12.0481,-16.31,-16480.91,183,qvm_rebalance
CPRT,qvm,2019-10-01,19.8825,2020-07-01,21.1475,6.36,6427.35,274,qvm_rebalance
META,qvm,2020-01-02,208.1466,2020-04-01,158.3573,-23.92,-25540.84,90,qvm_rebalance
TPL,qvm,2020-01-02,77.76,2020-07-01,59.4761,-23.51,-25106.19,181,qvm_rebalance
ISRG,qvm,2020-01-02,199.0867,2020-07-01,191.8467,-3.64,-3882.98,181,qvm_rebalance
PYPL,qvm,2020-04-01,90.894,2020-07-01,176.4864,94.17,99000.38,91,qvm_rebalance
EW,qvm,2020-04-01,57.5433,2020-07-01,69.0,19.91,20931.51,91,qvm_rebalance
GRMN,qvm,2020-04-01,62.6973,2020-07-01,85.8521,36.93,38826.55,91,qvm_rebalance
TER,qvm,2020-07-01,81.0477,2021-07-01,126.9297,56.61,77065.75,365,qvm_rebalance
AMAT,qvm,2021-01-04,83.087,2021-10-01,124.1842,49.46,67334.74,270,qvm_rebalance
VRTX,qvm,2021-01-04,229.43,2021-07-01,202.21,-11.86,-16150.94,178,qvm_rebalance
MPWR,qvm,2021-04-01,354.3607,2021-07-01,357.4981,0.89,1205.3,91,qvm_rebalance
WSM,qvm,2021-04-01,82.8435,2021-10-01,80.1491,-3.25,-4427.47,183,qvm_rebalance
META,qvm,2021-04-01,296.3345,2021-10-01,340.3392,14.85,20215.14,183,qvm_rebalance
SWKS,qvm,2021-04-01,163.4204,2021-10-01,143.5875,-12.14,-16521.14,183,qvm_rebalance
PYPL,qvm,2021-04-01,246.2236,2021-10-01,263.2426,6.91,9409.45,183,qvm_rebalance
REGN,qvm,2021-04-01,471.743,2022-04-01,690.1675,46.3,63031.24,365,qvm_rebalance
FTNT,qvm,2021-04-01,37.278,2021-07-01,48.468,30.02,40863.69,91,qvm_rebalance
DGX,qvm,2021-07-01,120.5631,2021-10-01,130.556,8.29,12136.88,92,qvm_rebalance
GOOG,qvm,2021-07-01,125.3395,2021-10-01,135.3513,7.99,11696.49,92,qvm_rebalance
TMO,qvm,2021-07-01,502.9575,2021-10-01,565.5954,12.45,18236.31,92,qvm_rebalance
MSFT,qvm,2021-07-01,261.2182,2021-10-01,278.5815,6.65,9733.32,92,qvm_rebalance
GRMN,qvm,2021-10-01,140.515,2022-01-03,121.5886,-13.47,-21444.79,94,qvm_rebalance
ISRG,qvm,2021-10-01,336.5,2022-04-01,305.54,-9.2,-14648.42,182,qvm_rebalance
