ticker,tier,entry_date,entry_price,exit_date,exit_price,return_pct,pnl_dollars,hold_days,exit_reason
LRCX,qvm,2017-10-02,16.5286,2017-12-04,16.0655,-2.8,-2801.84,63,trailing_stop
LRCX,qvm,2018-01-02,16.8713,2018-02-02,15.9603,-5.4,-5384.29,31,trailing_stop
AMAT,qvm,2018-01-02,48.3743,2018-02-05,44.0603,-8.92,-8892.78,34,trailing_stop
CPRT,qvm,2018-04-02,12.45,2018-09-19,13.895,11.61,11408.21,170,trailing_stop
META,qvm,2018-04-02,154.1801,2018-07-26,174.8876,13.43,13201.34,115,trailing_stop
PYPL,qvm,2018-04-02,74.6012,2018-07-02,83.4439,11.85,11650.89,91,qvm_rebalance
ADBE,qvm,2018-04-02,212.28,2018-11-19,219.69,3.49,3431.06,231,trailing_stop
ANET,qvm,2018-04-02,15.8444,2018-07-02,16.335,3.1,3043.64,91,qvm_rebalance
LRCX,qvm,2018-04-02,17.324,2018-06-15,16.0287,-7.48,-7349.27,74,trailing_stop
APO,qvm,2018-04-02,22.7315,2018-07-02,25.5813,12.54,12322.87,91,qvm_rebalance
MU,qvm,2018-07-02,53.1336,2018-08-15,46.3164,-12.83,-12863.62,44,trailing_stop
LRCX,qvm,2018-07-02,15.5471,2018-09-06,14.3792,-7.51,-7531.73,66,trailing_stop
TPL,qvm,2018-07-02,69.1414,2018-10-01,86.2419,24.73,24796.76,91,qvm_rebalance
CTAS,qvm,2018-07-02,43.5532,2018-10-01,45.7164,4.97,4979.72,91,qvm_rebalance
EMR,qvm,2018-07-02,57.8939,2018-10-01,65.1601,12.55,12583.35,91,qvm_rebalance
PYPL,qvm,2018-07-02,83.4439,2018-10-01,87.0844,4.36,4374.16,91,qvm_rebalance
NVDA,qvm,2018-10-01,7.1663,2018-10-10,6.0847,-15.09,-15899.91,9,trailing_stop
MU,qvm,2018-10-01,44.0342,2018-10-23,37.7241,-14.33,-15097.19,22,trailing_stop
META,qvm,2018-10-01,161.1752,2018-11-19,130.5257,-19.02,-20034.33,49,trailing_stop
ADBE,qvm,2019-01-02,224.57,2019-10-22,261.09,16.26,16358.73,293,trailing_stop
META,qvm,2019-01-02,134.6235,2019-06-03,162.8718,20.98,21107.78,152,trailing_stop
TPL,qvm,2019-01-02,56.3438,2019-05-31,73.9368,31.22,31409.7,149,trailing_stop
ANET,qvm,2019-01-02,13.1594,2019-04-01,19.8975,51.2,51507.98,89,qvm_rebalance
VRTX,qvm,2019-01-02,164.08,2019-04-01,186.05,13.39,13469.31,89,qvm_rebalance
MU,qvm,2019-01-02,31.9406,2019-05-13,36.4562,14.14,14221.36,131,trailing_stop
LULU,qvm,2019-01-02,123.35,2020-02-27,220.7,78.92,79390.33,421,trailing_stop
MPWR,qvm,2019-04-01,132.8786,2019-05-13,119.7934,-9.85,-10545.85,42,trailing_stop
OXY,qvm,2019-04-01,57.8159,2019-05-01,49.468,-14.44,-15462.73,30,trailing_stop
GOOG,qvm,2019-04-01,59.2352,2019-06-03,51.3896,-13.24,-14184.06,63,trailing_stop
CTRA,qvm,2019-04-01,19.1074,2019-06-24,17.2174,-9.89,-10592.43,84,trailing_stop
VRTX,qvm,2019-04-01,186.05,2020-03-12,204.06,9.68,10366.65,346,trailing_stop
ALGN,qvm,2019-07-01,271.68,2019-07-25,200.9,-26.05,-28315.86,24,trailing_stop
CTRA,qvm,2019-07-01,17.0544,2019-07-26,14.2009,-16.73,-18185.35,25,trailing_stop
FTNT,qvm,2019-07-01,15.438,2020-02-27,20.528,32.97,35834.69,241,trailing_stop
GOOG,qvm,2019-07-01,54.4505,2020-03-09,60.2831,10.71,11642.3,252,trailing_stop
CPRT,qvm,2019-10-01,19.8825,2020-02-26,22.09,11.1,11550.91,148,trailing_stop
ALGN,qvm,2019-10-01,182.3,2020-02-03,253.02,38.79,40359.16,125,trailing_stop
ANET,qvm,2019-10-01,14.3969,2019-11-01,11.5813,-19.56,-20346.66,31,trailing_stop
TPL,qvm,2020-01-02,77.76,2020-02-27,68.037,-12.5,-12958.76,56,trailing_stop
ANET,qvm,2020-01-02,12.795,2020-02-27,12.0737,-5.64,-5842.04,56,trailing_stop
META,qvm,2020-01-02,208.1466,2020-03-03,184.4426,-11.39,-11802.41,61,trailing_stop
TPL,qvm,2020-04-01,38.7171,2020-06-11,59.1594,52.8,63090.93,71,trailing_stop
GOOG,qvm,2020-04-01,54.8308,2020-07-01,71.3165,30.07,35926.93,91,qvm_rebalance
LULU,qvm,2020-04-01,183.5,2020-07-01,308.62,68.19,81475.94,91,qvm_rebalance
PYPL,qvm,2020-04-01,90.894,2020-07-01,176.4864,94.17,112522.25,91,qvm_rebalance
GRMN,qvm,2020-04-01,62.6974,2020-07-01,85.8521,36.93,44129.6,91,qvm_rebalance
ISRG,qvm,2020-04-01,152.7533,2020-07-01,191.8467,25.59,30580.94,91,qvm_rebalance
CPRT,qvm,2020-04-01,16.1975,2020-07-01,21.1475,30.56,36517.06,91,qvm_rebalance
EW,qvm,2020-04-01,57.5433,2020-07-01,69.0,19.91,23790.42,91,qvm_rebalance
TER,qvm,2020-07-01,81.0477,2020-09-08,73.9201,-8.79,-14272.81,69,trailing_stop
