ticker,tier,entry_date,entry_price,exit_date,exit_price,return_pct,pnl_dollars,hold_days,exit_reason
LRCX,qvm,2017-10-02,16.5286,2017-12-04,16.0655,-2.8,-2801.84,63,trailing_stop
LRCX,qvm,2018-01-02,16.8713,2018-02-02,15.9603,-5.4,-5384.29,31,trailing_stop
AMAT,qvm,2018-01-02,48.3743,2018-02-05,44.0603,-8.92,-8892.78,34,trailing_stop
LRCX,qvm,2018-04-02,17.324,2018-06-15,16.0287,-7.48,-7349.27,74,trailing_stop
ANET,qvm,2018-04-02,15.8444,2018-07-02,16.335,3.1,3043.64,91,qvm_rebalance
APO,qvm,2018-04-02,22.7315,2018-07-02,25.5813,12.54,12322.87,91,qvm_rebalance
PYPL,qvm,2018-04-02,74.6012,2018-07-02,83.4439,11.85,11650.89,91,qvm_rebalance
META,qvm,2018-04-02,154.1801,2018-07-26,174.8876,13.43,13201.34,115,trailing_stop
ADBE,qvm,2018-04-02,212.28,2018-11-19,219.69,3.49,3431.06,231,trailing_stop
CPRT,qvm,2018-04-02,12.45,2018-09-19,13.895,11.61,11408.21,170,trailing_stop
PYPL,qvm,2018-07-02,83.4439,2018-10-01,87.0844,4.36,4374.16,91,qvm_rebalance
EMR,qvm,2018-07-02,57.8939,2018-10-01,65.1601,12.55,12583.35,91,qvm_rebalance
TPL,qvm,2018-07-02,69.1414,2018-10-01,86.2419,24.73,24796.76,91,qvm_rebalance
LRCX,qvm,2018-07-02,15.5471,2018-09-06,14.3792,-7.51,-7531.73,66,trailing_stop
MU,qvm,2018-07-02,53.1336,2018-08-15,46.3164,-12.83,-12863.62,44,trailing_stop
CTAS,qvm,2018-07-02,43.5532,2018-10-01,45.7164,4.97,4979.72,91,qvm_rebalance
NVDA,qvm,2018-10-01,7.1663,2018-10-10,6.0847,-15.09,-15899.91,9,trailing_stop
MU,qvm,2018-10-01,44.0342,2018-10-23,37.7241,-14.33,-15097.19,22,trailing_stop
META,qvm,2018-10-01,161.1752,2018-11-19,130.5257,-19.02,-20034.33,49,trailing_stop
LRCX,crash,2018-12-18,12.5638,2019-02-14,16.517,31.47,31651.99,58,neg_revenue_2q
AMAT,crash,2018-12-18,30.8419,2019-03-18,37.2592,20.81,20930.64,90,neg_revenue_2q
META,crash,2019-01-02,134.6235,2022-01-03,335.904,149.51,150401.24,1097,max_hold_3yr
TPL,crash,2019-01-02,56.3438,2020-08-14,61.6972,9.5,9557.7,590,neg_revenue_2q
LULU,qvm,2019-01-02,123.35,2020-02-27,220.7,78.92,79390.33,421,trailing_stop
VRTX,qvm,2019-01-02,164.08,2019-04-01,186.05,13.39,13469.31,89,qvm_rebalance
MU,qvm,2019-01-02,31.9406,2019-05-13,36.4562,14.14,14221.36,131,trailing_stop
MPWR,qvm,2019-04-01,132.8786,2019-05-13,119.7934,-9.85,-10556.43,42,trailing_stop
VRTX,qvm,2019-04-01,186.05,2020-03-12,204.06,9.68,10377.06,346,trailing_stop
ADBE,qvm,2019-04-01,272.17,2019-10-22,261.09,-4.07,-4364.06,204,trailing_stop
OXY,qvm,2019-04-01,57.8159,2019-05-01,49.468,-14.44,-15478.25,30,trailing_stop
CTRA,qvm,2019-04-01,19.1074,2019-06-24,17.2174,-9.89,-10603.06,84,trailing_stop
GOOG,qvm,2019-04-01,59.2352,2019-06-03,51.3896,-13.24,-14198.29,63,trailing_stop
ALGN,qvm,2019-07-01,271.68,2019-07-25,200.9,-26.05,-26974.31,24,trailing_stop
FTNT,qvm,2019-07-01,15.438,2020-02-27,20.528,32.97,34136.9,241,trailing_stop
GOOG,qvm,2019-07-01,54.4505,2020-03-09,60.2831,10.71,11090.71,252,trailing_stop
CTRA,qvm,2019-07-01,17.0544,2019-07-26,14.2009,-16.73,-17323.76,25,trailing_stop
ANET,qvm,2019-10-01,14.3969,2019-11-01,11.5813,-19.56,-13613.22,31,trailing_stop
ALGN,qvm,2019-10-01,182.3,2020-02-03,253.02,38.79,38447.02,125,trailing_stop
CPRT,qvm,2019-10-01,19.8825,2020-02-26,22.09,11.1,11003.65,148,trailing_stop
ANET,qvm,2020-01-02,12.795,2020-02-27,12.0737,-5.64,-5485.33,56,trailing_stop
ALGN,crash,2020-03-05,230.69,2022-11-14,210.33,-8.83,-9978.26,984,neg_revenue_2q
ISRG,crash,2020-03-27,163.47,2020-11-16,252.73,54.6,62906.22,234,neg_revenue_2q
GOOG,crash,2020-03-31,57.6671,2023-03-31,103.1531,78.88,90871.05,1095,max_hold_3yr
EW,qvm,2020-04-01,57.5433,2020-07-01,69.0,19.91,22937.08,91,qvm_rebalance
GRMN,qvm,2020-04-01,62.6974,2020-07-01,85.8521,36.93,42546.72,91,qvm_rebalance
PYPL,qvm,2020-04-01,90.894,2020-07-01,176.4864,94.17,108486.2,91,qvm_rebalance
LULU,qvm,2020-04-01,183.5,2020-07-01,308.62,68.19,78553.49,91,qvm_rebalance
CPRT,qvm,2020-04-01,16.1975,2020-07-01,21.1475,30.56,35207.24,91,qvm_rebalance
TER,qvm,2020-07-01,81.0477,2020-09-08,73.9201,-8.79,-12662.01,69,trailing_stop
TER,qvm,2020-10-01,79.5671,2021-01-29,111.1638,39.71,57051.93,120,trailing_stop
