ticker,tier,entry_date,entry_price,exit_date,exit_price,return_pct,pnl_dollars,hold_days,exit_reason
LRCX,qvm,2017-10-02,16.5286,2017-12-04,16.0655,-2.8,-2801.9,63,trailing_stop
LRCX,qvm,2018-01-02,16.8713,2018-02-02,15.9603,-5.4,-5384.29,31,trailing_stop
AMAT,qvm,2018-01-02,48.3743,2018-02-05,44.0603,-8.92,-8892.78,34,trailing_stop
LRCX,qvm,2018-04-02,17.324,2018-06-15,16.0287,-7.48,-7349.26,74,trailing_stop
ANET,qvm,2018-04-02,15.8444,2018-07-02,16.335,3.1,3043.64,91,qvm_rebalance
APO,qvm,2018-04-02,22.7315,2018-07-02,25.5813,12.54,12322.85,91,qvm_rebalance
PYPL,qvm,2018-04-02,74.6012,2018-07-02,83.4439,11.85,11650.9,91,qvm_rebalance
META,qvm,2018-04-02,154.1801,2018-07-26,174.8876,13.43,13201.34,115,trailing_stop
CPRT,qvm,2018-04-02,12.45,2018-09-19,13.895,11.61,11408.21,170,trailing_stop
ADBE,qvm,2018-04-02,212.28,2018-11-19,219.69,3.49,3431.06,231,trailing_stop
MU,qvm,2018-07-02,53.1336,2018-08-15,46.3164,-12.83,-12863.61,44,trailing_stop
LRCX,qvm,2018-07-02,15.5471,2018-09-06,14.3792,-7.51,-7531.73,66,trailing_stop
TPL,qvm,2018-07-02,69.1414,2018-10-01,86.242,24.73,24796.77,91,qvm_rebalance
CTAS,qvm,2018-07-02,43.5532,2018-10-01,45.7164,4.97,4979.76,91,qvm_rebalance
EMR,qvm,2018-07-02,57.8939,2018-10-01,65.1601,12.55,12583.36,91,qvm_rebalance
PYPL,qvm,2018-07-02,83.4439,2018-10-01,87.0844,4.36,4374.15,91,qvm_rebalance
META,qvm,2018-10-01,161.1752,2018-11-19,130.5257,-19.02,-20034.35,49,trailing_stop
NVDA,qvm,2018-10-01,7.1663,2018-10-10,6.0847,-15.09,-15899.92,9,trailing_stop
MU,qvm,2018-10-01,44.0342,2018-10-23,37.7241,-14.33,-15097.18,22,trailing_stop
LULU,qvm,2019-01-02,123.35,2020-02-27,220.7,78.92,79390.32,421,trailing_stop
VRTX,qvm,2019-01-02,164.08,2019-04-01,186.05,13.39,13469.31,89,qvm_rebalance
ANET,qvm,2019-01-02,13.1594,2019-04-01,19.8975,51.2,51507.98,89,qvm_rebalance
ADBE,qvm,2019-01-02,224.57,2019-10-22,261.09,16.26,16358.73,293,trailing_stop
MU,qvm,2019-01-02,31.9407,2019-05-13,36.4562,14.14,14221.29,131,trailing_stop
TPL,qvm,2019-01-02,56.3438,2019-05-31,73.9368,31.22,31409.69,149,trailing_stop
META,qvm,2019-01-02,134.6235,2019-06-03,162.8718,20.98,21107.78,152,trailing_stop
CTRA,qvm,2019-04-01,19.1074,2019-06-24,17.2174,-9.89,-10592.48,84,trailing_stop
MPWR,qvm,2019-04-01,132.8786,2019-05-13,119.7934,-9.85,-10545.84,42,trailing_stop
OXY,qvm,2019-04-01,57.8159,2019-05-01,49.468,-14.44,-15462.74,30,trailing_stop
VRTX,qvm,2019-04-01,186.05,2020-03-12,204.06,9.68,10366.65,346,trailing_stop
GOOG,qvm,2019-04-01,59.2352,2019-06-03,51.3896,-13.24,-14184.05,63,trailing_stop
ALGN,qvm,2019-07-01,271.68,2019-07-25,200.9,-26.05,-28315.85,24,trailing_stop
CTRA,qvm,2019-07-01,17.0544,2019-07-26,14.2009,-16.73,-18185.33,25,trailing_stop
FTNT,qvm,2019-07-01,15.438,2020-02-27,20.528,32.97,35834.68,241,trailing_stop
GOOG,qvm,2019-07-01,54.4505,2020-03-09,60.2831,10.71,11642.3,252,trailing_stop
ANET,qvm,2019-10-01,14.3969,2019-11-01,11.5813,-19.56,-20346.66,31,trailing_stop
ALGN,qvm,2019-10-01,182.3,2020-02-03,253.02,38.79,40359.15,125,trailing_stop
CPRT,qvm,2019-10-01,19.8825,2020-02-26,22.09,11.1,11550.91,148,trailing_stop
ANET,qvm,2020-01-02,12.795,2020-02-27,12.0737,-5.64,-5842.04,56,trailing_stop
TPL,qvm,2020-01-02,77.76,2020-02-27,68.037,-12.5,-12958.71,56,trailing_stop
META,qvm,2020-01-02,208.1466,2020-03-03,184.4426,-11.39,-11802.42,61,trailing_stop
TPL,qvm,2020-04-01,38.7171,2020-06-11,59.1594,52.8,63090.89,71,trailing_stop
GOOG,qvm,2020-04-01,54.8308,2020-07-01,71.3165,30.07,35926.93,91,qvm_rebalance
LULU,qvm,2020-04-01,183.5,2020-07-01,308.62,68.19,81475.94,91,qvm_rebalance
PYPL,qvm,2020-04-01,90.894,2020-07-01,176.4864,94.17,112522.26,91,qvm_rebalance
GRMN,qvm,2020-04-01,62.6973,2020-07-01,85.8521,36.93,44129.63,91,qvm_rebalance
ISRG,qvm,2020-04-01,152.7533,2020-07-01,191.8467,25.59,30580.94,91,qvm_rebalance
CPRT,qvm,2020-04-01,16.1975,2020-07-01,21.1475,30.56,36517.06,91,qvm_rebalance
EW,qvm,2020-04-01,57.5433,2020-07-01,69.0,19.91,23790.42,91,qvm_rebalance
TER,qvm,2020-07-01,81.0477,2020-09-08,73.9201,-8.79,-14272.85,69,trailing_stop
TER,qvm,2020-10-01,79.5671,2021-01-29,111.1638,39.71,63881.98,120,trailing_stop
AMAT,qvm,2021-01-04,83.087,2021-05-12,110.0858,32.49,52273.39,128,trailing_stop
VRTX,qvm,2021-01-04,229.43,2021-06-11,193.02,-15.87,-25529.38,158,trailing_stop
REGN,qvm,2021-04-01,471.743,2021-10-01,566.9598,20.18,33759.06,183,trailing_stop
META,qvm,2021-04-01,296.3346,2021-10-01,340.3392,14.85,24836.97,183,qvm_rebalance
WSM,qvm,2021-04-01,82.5147,2021-06-17,70.9582,-14.01,-23424.83,77,trailing_stop
TER,qvm,2021-04-01,126.2715,2021-07-01,126.9297,0.52,871.79,91,qvm_rebalance
PYPL,qvm,2021-04-01,246.2236,2021-09-28,260.7957,5.92,9898.62,180,trailing_stop
SWKS,qvm,2021-07-01,165.0598,2021-09-29,145.8913,-11.61,-19472.27,90,trailing_stop
TMO,qvm,2021-07-01,502.9576,2022-01-03,637.1537,26.68,44738.15,186,qvm_rebalance
AMAT,qvm,2021-07-01,132.4241,2021-10-01,124.1842,-6.22,-10433.39,92,qvm_rebalance
DGX,qvm,2021-07-01,120.5631,2021-10-01,130.5559,8.29,13897.73,92,qvm_rebalance
TXN,qvm,2021-07-01,166.4014,2021-10-01,169.916,2.11,3541.53,92,qvm_rebalance
WSM,qvm,2021-07-01,72.8772,2021-12-01,85.537,17.37,29127.49,153,trailing_stop
GOOG,qvm,2021-07-01,125.3395,2022-01-03,143.8932,14.8,24820.57,186,qvm_rebalance
META,qvm,2021-10-01,340.3392,2022-01-03,335.904,-1.3,-2258.12,94,qvm_rebalance
ISRG,qvm,2021-10-01,336.5,2022-01-03,360.0,6.98,12101.15,94,qvm_rebalance
WY,qvm,2021-10-01,29.407,2022-01-03,33.9794,15.55,26942.69,94,qvm_rebalance
REGN,qvm,2021-10-01,566.9598,2022-04-01,690.1675,21.73,37655.6,182,qvm_rebalance
AMD,qvm,2021-10-01,102.45,2021-12-13,133.8,30.6,53023.65,73,trailing_stop
LULU,qvm,2021-10-01,401.37,2021-12-13,403.75,0.59,1027.49,73,trailing_stop
ULTA,qvm,2021-10-01,368.03,2022-01-03,413.23,12.28,21281.36,94,qvm_rebalance
GOOG,qvm,2022-01-03,143.8932,2022-04-01,139.5543,-3.02,-5860.59,88,qvm_rebalance
VRTX,qvm,2022-01-03,222.53,2022-04-01,266.15,19.6,38097.89,88,qvm_rebalance
EG,qvm,2022-01-03,252.13,2022-04-01,285.4681,13.22,25699.26,88,qvm_rebalance
PFE,qvm,2022-01-03,45.3657,2022-02-22,38.3517,-15.46,-30049.69,50,trailing_stop
ODFL,qvm,2022-01-03,169.3564,2022-01-21,145.1242,-14.31,-27809.64,18,trailing_stop
TER,qvm,2022-01-03,163.2057,2022-01-25,135.8721,-16.75,-32551.08,22,trailing_stop
KLAC,qvm,2022-01-03,416.4983,2022-01-21,357.0902,-14.26,-27722.77,18,trailing_stop
AMAT,qvm,2022-01-03,154.0528,2022-01-20,134.0364,-12.99,-25253.41,17,trailing_stop
WSM,qvm,2022-01-03,77.3723,2022-01-20,65.6419,-15.16,-29466.53,17,trailing_stop
PFE,qvm,2022-04-01,41.6116,2022-08-30,37.5873,-9.67,-18049.56,151,trailing_stop
MRK,qvm,2022-04-01,73.9577,2022-07-01,82.5085,11.56,21578.0,91,qvm_rebalance
EXPD,qvm,2022-04-01,95.3345,2022-06-13,92.5205,-2.95,-5508.73,73,trailing_stop
ON,qvm,2022-04-01,59.63,2022-06-13,56.07,-5.97,-11142.25,73,trailing_stop
KLAC,qvm,2022-04-01,345.8071,2022-05-11,299.1197,-13.5,-25197.24,40,trailing_stop
TER,qvm,2022-04-01,114.4411,2022-05-09,98.5588,-13.88,-25901.12,38,trailing_stop
CF,qvm,2022-04-01,91.4759,2022-05-09,83.3082,-8.93,-16663.94,38,trailing_stop
PSA,qvm,2022-04-01,327.144,2022-05-04,293.0361,-10.43,-19458.25,33,trailing_stop
GOOG,qvm,2022-04-01,139.5543,2022-04-22,118.64,-14.99,-27969.69,21,trailing_stop
META,qvm,2022-04-01,223.0992,2022-04-21,186.6056,-16.36,-30528.56,20,trailing_stop
ULTA,qvm,2022-07-01,382.85,2023-04-03,551.19,43.97,75872.1,276,qvm_rebalance
REGN,qvm,2022-07-01,591.4047,2022-10-03,730.197,23.47,40495.25,94,qvm_rebalance
COP,qvm,2022-07-01,79.5457,2022-09-26,87.1226,9.53,16436.14,87,trailing_stop
GOOG,qvm,2022-07-01,108.1927,2022-09-15,103.0539,-4.75,-8195.72,76,trailing_stop
MU,qvm,2022-07-01,52.5248,2022-09-06,54.1776,3.15,5429.51,67,trailing_stop
KLAC,qvm,2022-07-01,285.3161,2022-09-02,323.9957,13.56,21483.97,63,trailing_stop
FCX,qvm,2022-07-01,27.5536,2022-09-01,26.6575,-3.25,-5612.3,62,trailing_stop
MRNA,qvm,2022-07-01,149.95,2022-08-17,158.0,5.37,9263.46,47,trailing_stop
CF,qvm,2022-07-01,78.4931,2022-09-12,91.9222,17.11,29521.54,73,trailing_stop
MRK,qvm,2022-10-03,78.7909,2023-01-03,100.6834,27.79,50467.28,92,qvm_rebalance
CPRT,qvm,2022-10-03,27.4125,2023-01-03,30.73,12.1,21981.19,92,qvm_rebalance
PFE,qvm,2022-10-03,36.1854,2023-01-03,42.3825,17.13,31105.76,92,qvm_rebalance
VRTX,qvm,2022-10-03,297.43,2023-04-03,316.33,6.35,11541.6,182,qvm_rebalance
CF,qvm,2022-10-03,92.6799,2022-12-14,86.2701,-6.92,-12561.68,72,trailing_stop
DVN,qvm,2022-10-03,56.3224,2022-12-06,55.2878,-1.84,-3336.26,64,trailing_stop
CTRA,qvm,2022-10-03,23.6806,2022-12-06,22.8835,-3.37,-6113.27,64,trailing_stop
ON,qvm,2022-10-03,64.79,2022-10-11,59.47,-8.21,-14913.95,8,trailing_stop
MU,qvm,2022-10-03,50.7345,2022-12-15,51.1561,0.83,1509.38,73,trailing_stop
FAST,qvm,2023-01-03,21.8631,2023-04-03,25.002,14.36,27055.34,90,qvm_rebalance
LULU,qvm,2023-01-03,323.38,2023-04-03,367.4,13.61,25651.93,90,qvm_rebalance
ANET,qvm,2023-01-03,30.2275,2023-04-03,41.935,38.73,72986.96,90,qvm_rebalance
CTRA,qvm,2023-01-03,20.5863,2023-04-03,22.8026,10.77,20287.61,90,qvm_rebalance
ON,qvm,2023-01-03,61.61,2023-04-03,81.14,31.7,59735.75,90,qvm_rebalance
QCOM,qvm,2023-01-03,99.5066,2023-03-10,107.5763,8.11,15282.33,66,trailing_stop
COP,qvm,2023-01-03,101.7928,2023-02-17,94.1112,-7.55,-14220.69,45,trailing_stop
DVN,qvm,2023-01-03,51.1949,2023-02-16,49.0808,-4.13,-7781.59,44,trailing_stop
LRCX,qvm,2023-04-03,50.664,2023-07-03,63.4171,25.17,54644.73,91,qvm_rebalance
CVX,qvm,2023-04-03,149.6859,2023-07-03,139.8208,-6.59,-14307.01,91,qvm_rebalance
COP,qvm,2023-04-03,98.6047,2023-07-03,95.8553,-2.79,-6053.12,91,qvm_rebalance
PSA,qvm,2023-04-03,272.1464,2023-07-03,261.8667,-3.78,-8199.88,91,qvm_rebalance
MCHP,qvm,2023-07-03,84.5773,2023-08-16,74.3933,-12.04,-26453.4,44,trailing_stop
EXE,qvm,2023-07-03,77.3957,2023-10-02,77.7969,0.52,1138.92,91,qvm_rebalance
ALB,qvm,2023-07-03,219.5133,2023-07-27,197.1943,-10.17,-22337.38,24,trailing_stop
ABNB,qvm,2023-10-02,136.56,2023-10-26,115.47,-15.44,-33193.1,24,trailing_stop
ALGM,qvm,2023-10-02,31.89,2023-10-30,26.43,-17.12,-36798.73,28,trailing_stop
ELF,qvm,2023-10-02,108.21,2023-10-31,92.63,-14.4,-30945.31,29,trailing_stop
PCTY,qvm,2023-10-02,185.06,2023-11-01,164.14,-11.3,-24296.51,30,trailing_stop
